[Mon May 28 11:24:03 GMT 2018] [DATA] dataset random sampling epoch 0
[Mon May 28 11:24:04 GMT 2018] [LOSS = 1.0][ACCURACY = 46.5938053479632 %]
[Mon May 28 11:24:29 GMT 2018] [LOSS = 0.526159054857248][ACCURACY = 85.06198971877835 %]
[Mon May 28 11:24:54 GMT 2018] [LOSS = 0.3578259313353957][ACCURACY = 89.4207093178971 %]
[Mon May 28 11:25:24 GMT 2018] [LOSS = 0.2914183190708162][ACCURACY = 90.41859259579248 %]
[Mon May 28 11:25:55 GMT 2018] [LOSS = 0.24566657694122507][ACCURACY = 91.412156032658 %]
[Mon May 28 11:26:31 GMT 2018] [LOSS = 0.23375704422672153][ACCURACY = 91.87437902285195 %]
[Mon May 28 11:27:10 GMT 2018] [LOSS = 0.2320317978720956][ACCURACY = 91.54175126355351 %]
[Mon May 28 11:27:49 GMT 2018] [LOSS = 0.2223695705038901][ACCURACY = 91.90893775109076 %]
[Mon May 28 11:28:29 GMT 2018] [LOSS = 0.21578845665703483][ACCURACY = 92.16380837185191 %]
[Mon May 28 11:29:14 GMT 2018] [LOSS = 0.21544458071031214][ACCURACY = 92.01693377683702 %]
[Mon May 28 11:29:56 GMT 2018] [LOSS = 0.21117567690793163][ACCURACY = 92.16380837185191 %]
[Mon May 28 11:30:40 GMT 2018] [LOSS = 0.20908546893803767][ACCURACY = 92.23292582832951 %]
[Mon May 28 11:31:24 GMT 2018] [LOSS = 0.2103494552561816][ACCURACY = 92.18540757700117 %]
[Mon May 28 11:32:11 GMT 2018] [LOSS = 0.2081576954786585][ACCURACY = 92.19836710009072 %]
[Mon May 28 11:32:56 GMT 2018] [LOSS = 0.20641744981754995][ACCURACY = 92.19404725906087 %]
[Mon May 28 11:33:46 GMT 2018] [LOSS = 0.20735782319115934][ACCURACY = 92.10333059743402 %]
[Mon May 28 11:34:34 GMT 2018] [LOSS = 0.20657576119375726][ACCURACY = 92.30636312583697 %]
[Mon May 28 11:35:24 GMT 2018] [LOSS = 0.20637837062622263][ACCURACY = 92.22428614626982 %]
[Mon May 28 11:36:17 GMT 2018] [LOSS = 0.20558154164697975][ACCURACY = 92.25452503347876 %]
[Mon May 28 11:37:08 GMT 2018] [LOSS = 0.20665997870675698][ACCURACY = 92.21996630523996 %]
[Mon May 28 11:37:59 GMT 2018] [LOSS = 0.20708808740403103][ACCURACY = 92.13788932567282 %]
